location,total_laid_off
Alabama,110.0
Alaska,0.0
Arizona,5067.0
Arkansas,0.0
California,155222.0
Colorado,988.0
Connecticut,964.0
Delaware,176.0
District of Columbia,2372.0
Florida,2714.0
Georgia,1877.0
Hawaii,0.0
Idaho,7200.0
Illinois,6500.0
Indiana,5.0
Iowa,62.0
Kansas,0.0
Kentucky,52.0
Louisiana,200.0
Maine,0.0
Maryland,66.0
Massachusetts,11458.0
Michigan,1746.0
Minnesota,227.0
Mississippi,0.0
Missouri,785.0
Montana,30.0
Nebraska,59.0
Nevada,1206.0
New Hampshire,83.0
New Jersey,0.0
New Mexico,213.0
New York,30347.0
North Carolina,1239.0
North Dakota,0.0
Ohio,3401.0
Oklahoma,0.0
Oregon,1659.0
Pennsylvania,3602.0
Rhode Island,0.0
South Carolina,500.0
South Dakota,0.0
Tennessee,344.0
Texas,11711.0
Utah,2098.0
Vermont,47.0
Virginia,0.0
Washington,44984.0
West Virginia,0.0
Wisconsin,179.0
Wyoming,0.0
